Geography,Labour Force Ac,Total - Age groups,  15-19 years,  20-24 years,  25-44 years,    25-29 years,    30-34 years,    35-44 years,  45-64 years,    45-54 years,    55-64 years,  65 years and over
24045,    Unemployed,4170.0,180.0,505.0,2175.0,480.0,510.0,1185.0,1220.0,710.0,505.0,90.0
24045,  Not in the labour force,32315.0,4100.0,1905.0,5015.0,1305.0,1300.0,2415.0,5775.0,2230.0,3545.0,15525.0
24045,Participation rate,58.7,26.5,67.5,80.9,76.3,79.9,83.0,74.2,82.5,63.2,14.7
24045,Employment rate,53.3,23.1,58.9,72.6,67.6,72.0,74.7,68.8,76.9,58.0,14.2
24045,Unemployment rate,9.1,12.2,12.8,10.3,11.4,9.9,10.0,7.4,6.8,8.3,3.4
24046,Total - Labour force activity,82305.0,4665.0,10270.0,35100.0,10645.0,9185.0,15270.0,20160.0,12250.0,7910.0,12105.0
24046,  In the labour force,53960.0,1590.0,7120.0,29180.0,8760.0,7500.0,12925.0,14540.0,9955.0,4580.0,1525.0
24046,    Employed,48255.0,1305.0,6045.0,26075.0,7805.0,6730.0,11540.0,13365.0,9015.0,4355.0,1460.0
24046,    Unemployed,5705.0,280.0,1075.0,3105.0,950.0,765.0,1385.0,1170.0,945.0,225.0,65.0
24046,  Not in the labour force,28350.0,3075.0,3150.0,5925.0,1885.0,1685.0,2350.0,5620.0,2290.0,3325.0,10585.0
24046,Participation rate,65.6,34.1,69.3,83.1,82.3,81.7,84.6,72.1,81.3,57.9,12.6
24046,Employment rate,58.6,28.0,58.9,74.3,73.3,73.3,75.6,66.3,73.6,55.1,12.1
24046,Unemployment rate,10.6,17.6,15.1,10.6,10.8,10.2,10.7,8.0,9.5,4.9,4.3
24047,Total - Labour force activity,90550.0,5480.0,9695.0,37965.0,10415.0,9510.0,18040.0,22580.0,13205.0,9375.0,14835.0
24047,  In the labour force,54960.0,2280.0,7520.0,30230.0,8405.0,7570.0,14260.0,14330.0,10035.0,4295.0,590.0
24047,    Employed,47485.0,1915.0,6510.0,26070.0,7545.0,6355.0,12175.0,12485.0,8645.0,3845.0,505.0
24047,    Unemployed,7470.0,370.0,1015.0,4165.0,860.0,1220.0,2085.0,1845.0,1390.0,455.0,85.0
24047,  Not in the labour force,35595.0,3200.0,2165.0,7730.0,2015.0,1940.0,3780.0,8255.0,3175.0,5080.0,14240.0
24047,Participation rate,60.7,41.6,77.6,79.6,80.7,79.6,79.0,63.5,76.0,45.8,4.0
24047,Employment rate,52.4,34.9,67.1,68.7,72.4,66.8,67.5,55.3,65.5,41.0,3.4
24047,Unemployment rate,13.6,16.2,13.5,13.8,10.2,16.1,14.6,12.9,13.9,10.6,14.4
24048,Total - Labour force activity,87710.0,8580.0,7550.0,31630.0,5810.0,6780.0,19040.0,28895.0,17870.0,11020.0,11060.0
24048,  In the labour force,60465.0,3750.0,5925.0,27240.0,4900.0,5715.0,16630.0,22290.0,15470.0,6820.0,1260.0
24048,    Employed,56600.0,3380.0,5310.0,25595.0,4580.0,5350.0,15660.0,21135.0,14685.0,6455.0,1175.0
24048,    Unemployed,3865.0,370.0,615.0,1650.0,320.0,365.0,965.0,1160.0,790.0,365.0,80.0
24048,  Not in the labour force,27245.0,4835.0,1625.0,4390.0,905.0,1065.0,2415.0,6600.0,2400.0,4200.0,9800.0
24048,Participation rate,68.9,43.7,78.5,86.1,84.3,84.3,87.3,77.1,86.6,61.9,11.4
24048,Employment rate,64.5,39.4,70.3,80.9,78.8,78.9,82.2,73.1,82.2,58.6,10.6
24048,Unemployment rate,6.4,9.9,10.4,6.1,6.5,6.4,5.8,5.2,5.1,5.4,6.3
24049,Total - Labour force activity,81365.0,6390.0,4655.0,29415.0,4845.0,6335.0,18235.0,28930.0,16700.0,12235.0,11970.0
24049,  In the labour force,49710.0,2515.0,3670.0,24800.0,4015.0,5270.0,15515.0,17780.0,12815.0,4965.0,945.0
24049,    Employed,44270.0,2115.0,3030.0,22445.0,3550.0,4770.0,14125.0,15830.0,11505.0,4320.0,855.0
24049,    Unemployed,5440.0,405.0,640.0,2355.0,465.0,500.0,1390.0,1950.0,1310.0,645.0,90.0
24049,  Not in the labour force,31650.0,3870.0,980.0,4615.0,825.0,1065.0,2720.0,11155.0,3885.0,7270.0,11025.0
24049,Participation rate,61.1,39.4,78.8,84.3,82.9,83.2,85.1,61.5,76.7,40.6,7.9
24049,Employment rate,54.4,33.1,65.1,76.3,73.3,75.3,77.5,54.7,68.9,35.3,7.1
24049,Unemployment rate,10.9,16.1,17.4,9.5,11.6,9.5,9.0,11.0,10.2,13.0,9.5
24050,Total - Labour force activity,71575.0,6020.0,5115.0,28980.0,5140.0,6485.0,17355.0,22595.0,14080.0,8515.0,8870.0
24050,  In the labour force,47805.0,2385.0,4125.0,25540.0,4465.0,5790.0,15285.0,15365.0,11580.0,3780.0,400.0
24050,    Employed,44605.0,1990.0,3720.0,24125.0,4175.0,5460.0,14485.0,14410.0,10965.0,3440.0,360.0
24050,    Unemployed,3205.0,400.0,400.0,1415.0,290.0,335.0,800.0,955.0,610.0,345.0,35.0
24050,  Not in the labour force,23765.0,3630.0,990.0,3440.0,680.0,695.0,2070.0,7235.0,2500.0,4730.0,8470.0
24050,Participation rate,66.8,39.6,80.6,88.1,86.9,89.3,88.1,68.0,82.2,44.4,4.5
24050,Employment rate,62.3,33.1,72.7,83.2,81.2,84.2,83.5,63.8,77.9,40.4,4.1
24050,Unemployment rate,6.7,16.8,9.7,5.5,6.5,5.8,5.2,6.2,5.3,9.1,8.8
24051,Total - Labour force activity,89905.0,4210.0,9360.0,30680.0,8890.0,6610.0,15175.0,26425.0,15745.0,10680.0,19225.0
24051,  In the labour force,50825.0,1720.0,7150.0,25335.0,7425.0,5715.0,12185.0,15845.0,12030.0,3810.0,790.0
24051,    Employed,45055.0,1295.0,6380.0,22470.0,6785.0,4970.0,10715.0,14255.0,10775.0,3480.0,660.0
24051,    Unemployed,5770.0,425.0,765.0,2865.0,645.0,750.0,1470.0,1585.0,1255.0,330.0,125.0
24051,  Not in the labour force,39075.0,2490.0,2215.0,5350.0,1465.0,895.0,2995.0,10580.0,3710.0,6870.0,18445.0
24051,Participation rate,56.5,40.9,76.4,82.6,83.5,86.5,80.3,60.0,76.4,35.7,4.1
24051,Employment rate,50.1,30.8,68.2,73.2,76.3,75.2,70.6,53.9,68.4,32.6,3.4
24051,Unemployment rate,11.4,24.7,10.7,11.3,8.7,13.1,12.1,10.0,10.4,8.7,15.8
24052,Total - Labour force activity,90665.0,6515.0,7875.0,32900.0,7180.0,7035.0,18680.0,30850.0,17775.0,13075.0,12530.0
24052,  In the labour force,59245.0,2700.0,6490.0,29465.0,6380.0,6360.0,16730.0,20110.0,14785.0,5325.0,480.0
24052,    Employed,55435.0,2165.0,5900.0,27915.0,6010.0,5990.0,15915.0,19040.0,14100.0,4935.0,420.0
24052,    Unemployed,3810.0,535.0,590.0,1550.0,370.0,370.0,815.0,1070.0,685.0,390.0,55.0
24052,  Not in the labour force,31420.0,3810.0,1385.0,3430.0,805.0,675.0,1950.0,10740.0,2990.0,7745.0,12055.0
24052,Participation rate,65.3,41.4,82.4,89.6,88.9,90.4,89.6,65.2,83.2,40.7,3.8
24052,Employment rate,61.1,33.2,74.9,84.8,83.7,85.1,85.2,61.7,79.3,37.7,3.4
24052,Unemployment rate,6.4,19.8,9.1,5.3,5.8,5.8,4.9,5.3,4.6,7.3,11.5
24053,Total - Labour force activity,98205.0,9245.0,7220.0,40620.0,6440.0,8775.0,25405.0,32130.0,20215.0,11920.0,8990.0
24053,  In the labour force,70170.0,4330.0,6300.0,35940.0,5585.0,7715.0,22640.0,23070.0,17205.0,5865.0,535.0
24053,    Employed,66620.0,3715.0,5830.0,34485.0,5265.0,7385.0,21830.0,22080.0,16595.0,5485.0,510.0
24053,    Unemployed,3555.0,615.0,470.0,1455.0,315.0,330.0,810.0,990.0,605.0,385.0,25.0
24053,  Not in the labour force,28035.0,4910.0,920.0,4685.0,860.0,1060.0,2765.0,9060.0,3010.0,6050.0,8455.0
24053,Participation rate,71.5,46.8,87.3,88.5,86.7,87.9,89.1,71.8,85.1,49.2,6.0
24053,Employment rate,67.8,40.2,80.7,84.9,81.8,84.2,85.9,68.7,82.1,46.0,5.7
24053,Unemployment rate,5.1,14.2,7.5,4.0,5.6,4.3,3.6,4.3,3.5,6.6,4.7
24054,Total - Labour force activity,69405.0,5650.0,5055.0,22070.0,3760.0,4505.0,13800.0,24775.0,14335.0,10435.0,11860.0
24054,  In the labour force,40755.0,2260.0,3810.0,18545.0,3080.0,3770.0,11690.0,15570.0,11205.0,4370.0,565.0
24054,    Employed,37500.0,1890.0,3320.0,17305.0,2855.0,3430.0,11025.0,14475.0,10480.0,3995.0,505.0
24054,    Unemployed,3260.0,375.0,495.0,1235.0,225.0,340.0,670.0,1095.0,725.0,370.0,65.0
24054,  Not in the labour force,28650.0,3385.0,1245.0,3530.0,685.0,735.0,2110.0,9200.0,3130.0,6065.0,11290.0
24054,Participation rate,58.7,40.0,75.4,84.0,81.9,83.7,84.7,62.8,78.2,41.9,4.8
24054,Employment rate,54.0,33.5,65.7,78.4,75.9,76.1,79.9,58.4,73.1,38.3,4.3
24054,Unemployment rate,8.0,16.6,13.0,6.7,7.3,9.0,5.7,7.0,6.5,8.5,11.5
24055,Total - Labour force activity,78785.0,7075.0,6210.0,27220.0,5350.0,5915.0,15950.0,26115.0,15730.0,10390.0,12160.0
24055,  In the labour force,51170.0,3025.0,5145.0,24150.0,4755.0,5205.0,14185.0,18255.0,13220.0,5030.0,600.0
24055,    Employed,47825.0,2615.0,4730.0,22730.0,4455.0,4935.0,13340.0,17190.0,12530.0,4660.0,560.0
24055,    Unemployed,3345.0,405.0,415.0,1420.0,300.0,265.0,850.0,1065.0,690.0,375.0,40.0
24055,  Not in the labour force,27615.0,4050.0,1065.0,3070.0,600.0,715.0,1765.0,7865.0,2505.0,5360.0,11560.0
24055,Participation rate,64.9,42.8,82.9,88.7,88.9,88.0,88.9,69.9,84.0,48.4,4.9
24055,Employment rate,60.7,37.0,76.2,83.5,83.3,83.4,83.6,65.8,79.7,44.9,4.6
24055,Unemployment rate,6.5,13.4,8.1,5.9,6.3,5.1,6.0,5.8,5.2,7.5,6.7
24056,Total - Labour force activity,58120.0,4990.0,4670.0,19430.0,3695.0,3925.0,11815.0,19980.0,12270.0,7710.0,9050.0
24056,  In the labour force,35690.0,1890.0,3615.0,16500.0,3085.0,3290.0,10130.0,13235.0,10105.0,3135.0,450.0
24056,    Employed,31375.0,1455.0,2950.0,14815.0,2675.0,2990.0,9150.0,11745.0,9060.0,2690.0,410.0
24056,    Unemployed,4315.0,435.0,665.0,1685.0,410.0,305.0,970.0,1485.0,1040.0,445.0,45.0
24056,  Not in the labour force,22430.0,3105.0,1055.0,2930.0,615.0,630.0,1690.0,6745.0,2170.0,4575.0,8605.0
24056,Participation rate,61.4,37.9,77.4,84.9,83.5,83.8,85.7,66.2,82.4,40.7,5.0
24056,Employment rate,54.0,29.2,63.2,76.2,72.4,76.2,77.4,58.8,73.8,34.9,4.5
24056,Unemployment rate,12.1,23.0,18.4,10.2,13.3,9.3,9.6,11.2,10.3,14.2,10.0
24057,Total - Labour force activity,55620.0,5835.0,4870.0,19900.0,3615.0,3875.0,12405.0,17970.0,10825.0,7140.0,7050.0
24057,  In the labour force,33400.0,1910.0,3560.0,16410.0,2975.0,3225.0,10215.0,11220.0,8290.0,2935.0,305.0
24057,    Employed,28360.0,1450.0,2715.0,14350.0,2580.0,2855.0,8910.0,9610.0,7205.0,2410.0,235.0
24057,    Unemployed,5040.0,460.0,845.0,2060.0,390.0,365.0,1300.0,1610.0,1090.0,525.0,70.0
24057,  Not in the labour force,22220.0,3920.0,1310.0,3490.0,640.0,655.0,2190.0,6745.0,2535.0,4205.0,6745.0
24057,Participation rate,60.1,32.7,73.1,82.5,82.3,83.2,82.3,62.4,76.6,41.1,4.3
24057,Employment rate,51.0,24.9,55.7,72.1,71.4,73.7,71.8,53.5,66.6,33.8,3.3
24057,Unemployment rate,15.1,24.1,23.7,12.6,13.1,11.3,12.7,14.3,13.1,17.9,23.0
24058,Total - Labour force activity,88345.0,4345.0,9740.0,37810.0,10750.0,9090.0,17970.0,22475.0,13965.0,8515.0,13970.0
24058,  In the labour force,58215.0,2020.0,7965.0,32690.0,9485.0,7800.0,15400.0,15040.0,11320.0,3720.0,500.0
24058,    Employed,52725.0,1700.0,7250.0,29620.0,8665.0,7025.0,13930.0,13725.0,10330.0,3395.0,430.0
24058,    Unemployed,5485.0,320.0,715.0,3065.0,820.0,780.0,1470.0,1315.0,990.0,325.0,70.0
24058,  Not in the labour force,30130.0,2330.0,1775.0,5120.0,1265.0,1280.0,2570.0,7435.0,2645.0,4790.0,13475.0
24058,Participation rate,65.9,46.5,81.8,86.5,88.2,85.8,85.7,66.9,81.1,43.7,3.6
24058,Employment rate,59.7,39.1,74.4,78.3,80.6,77.3,77.5,61.1,74.0,39.9,3.1
24058,Unemployment rate,9.4,15.8,9.0,9.4,8.6,10.0,9.5,8.7,8.7,8.7,14.0
24059,Total - Labour force activity,63540.0,6065.0,4835.0,23345.0,4350.0,4990.0,14005.0,20140.0,12325.0,7815.0,9155.0
24059,  In the labour force,38155.0,2085.0,3655.0,19470.0,3505.0,4070.0,11900.0,12505.0,9530.0,2975.0,435.0
24059,    Employed,32960.0,1605.0,2870.0,17040.0,2995.0,3610.0,10445.0,11035.0,8500.0,2540.0,415.0
24059,    Unemployed,5190.0,485.0,785.0,2430.0,510.0,460.0,1455.0,1470.0,1035.0,435.0,20.0
24059,  Not in the labour force,25390.0,3980.0,1185.0,3875.0,850.0,925.0,2105.0,7630.0,2790.0,4845.0,8720.0
24059,Participation rate,60.0,34.4,75.6,83.4,80.6,81.6,85.0,62.1,77.3,38.1,4.8
24059,Employment rate,51.9,26.5,59.4,73.0,68.9,72.3,74.6,54.8,69.0,32.5,4.5
24059,Unemployment rate,13.6,23.3,21.5,12.5,14.6,11.3,12.2,11.8,10.9,14.6,4.6
24060,Total - Labour force activity,91075.0,8055.0,8120.0,37220.0,7060.0,8050.0,22110.0,27910.0,17425.0,10485.0,9765.0
24060,  In the labour force,64405.0,4035.0,6910.0,33135.0,6260.0,7080.0,19795.0,19795.0,14745.0,5055.0,535.0
24060,    Employed,60860.0,3565.0,6395.0,31650.0,5860.0,6830.0,18965.0,18745.0,14035.0,4710.0,510.0
24060,    Unemployed,3550.0,470.0,515.0,1485.0,400.0,250.0,840.0,1050.0,705.0,340.0,30.0
24060,  Not in the labour force,26670.0,4020.0,1215.0,4085.0,800.0,975.0,2315.0,8115.0,2685.0,5435.0,9230.0
24060,Participation rate,70.7,50.1,85.1,89.0,88.7,88.0,89.5,70.9,84.6,48.2,5.5
24060,Employment rate,66.8,44.3,78.8,85.0,83.0,84.8,85.8,67.2,80.5,44.9,5.2
24060,Unemployment rate,5.5,11.6,7.5,4.5,6.4,3.5,4.2,5.3,4.8,6.7,5.6
24061,Total - Labour force activity,78930.0,7215.0,6405.0,29715.0,5340.0,6255.0,18115.0,27625.0,16715.0,10910.0,7975.0
24061,  In the labour force,56060.0,3735.0,5395.0,26430.0,4685.0,5540.0,16200.0,19935.0,14235.0,5705.0,560.0
24061,    Employed,52855.0,3200.0,4860.0,25230.0,4395.0,5330.0,15505.0,19065.0,13705.0,5365.0,500.0
24061,    Unemployed,3200.0,535.0,535.0,1200.0,290.0,210.0,700.0,870.0,530.0,345.0,60.0
24061,  Not in the labour force,22870.0,3475.0,1015.0,3285.0,655.0,715.0,1915.0,7685.0,2485.0,5200.0,7405.0
24061,Participation rate,71.0,51.8,84.2,88.9,87.7,88.6,89.4,72.2,85.2,52.3,7.0
24061,Employment rate,67.0,44.4,75.9,84.9,82.3,85.2,85.6,69.0,82.0,49.2,6.3
24061,Unemployment rate,5.7,14.3,9.9,4.5,6.2,3.8,4.3,4.4,3.7,6.0,10.7
24062,Total - Labour force activity,74735.0,6520.0,6505.0,26395.0,5155.0,5820.0,15425.0,24110.0,14365.0,9745.0,11205.0
24062,  In the labour force,50115.0,3430.0,5500.0,23445.0,4605.0,5245.0,13605.0,17090.0,12130.0,4965.0,650.0
24062,    Employed,46815.0,3035.0,4930.0,22090.0,4255.0,4970.0,12860.0,16185.0,11510.0,4675.0,580.0
24062,    Unemployed,3295.0,395.0,570.0,1360.0,345.0,270.0,735.0,905.0,615.0,285.0,70.0
24062,  Not in the labour force,24620.0,3095.0,1010.0,2955.0,550.0,575.0,1825.0,7020.0,2235.0,4785.0,10550.0
24062,Participation rate,67.1,52.6,84.6,88.8,89.3,90.1,88.2,70.9,84.4,50.9,5.8
24062,Employment rate,62.6,46.5,75.8,83.7,82.5,85.4,83.4,67.1,80.1,48.0,5.2
24062,Unemployment rate,6.6,11.5,10.4,5.8,7.5,5.1,5.4,5.3,5.1,5.7,10.8
24063,Total - Labour force activity,75465.0,6505.0,6230.0,27930.0,5170.0,6200.0,16565.0,23905.0,14515.0,9390.0,10885.0
24063,  In the labour force,50125.0,3305.0,5205.0,24600.0,4510.0,5485.0,14605.0,16390.0,11905.0,4480.0,620.0
24063,    Employed,46765.0,2815.0,4680.0,23185.0,4160.0,5165.0,13860.0,15565.0,11345.0,4220.0,520.0
24063,    Unemployed,3360.0,495.0,530.0,1410.0,350.0,315.0,740.0,830.0,565.0,260.0,105.0
24063,  Not in the labour force,25335.0,3195.0,1020.0,3335.0,660.0,720.0,1955.0,7515.0,2610.0,4910.0,10270.0
24063,Participation rate,66.4,50.8,83.5,88.1,87.2,88.5,88.2,68.6,82.0,47.7,5.7
24063,Employment rate,62.0,43.3,75.1,83.0,80.5,83.3,83.7,65.1,78.2,44.9,4.8
24063,Unemployment rate,6.7,15.0,10.2,5.7,7.8,5.7,5.1,5.1,4.7,5.8,16.9
24064,Total - Labour force activity,70490.0,4940.0,5985.0,24145.0,5480.0,5280.0,13385.0,23075.0,13030.0,10045.0,12350.0
24064,  In the labour force,44145.0,2235.0,4780.0,20680.0,4715.0,4465.0,11495.0,15795.0,10540.0,5260.0,660.0
24064,    Employed,40710.0,1900.0,4330.0,19060.0,4180.0,4090.0,10790.0,14810.0,9840.0,4970.0,605.0
24064,    Unemployed,3435.0,335.0,445.0,1620.0,540.0,370.0,710.0,985.0,690.0,290.0,55.0
24064,  Not in the labour force,26340.0,2705.0,1210.0,3465.0,770.0,815.0,1885.0,7275.0,2490.0,4780.0,11690.0
24064,Participation rate,62.6,45.2,79.9,85.6,86.0,84.6,85.9,68.5,80.9,52.4,5.3
24064,Employment rate,57.8,38.5,72.3,78.9,76.3,77.5,80.6,64.2,75.5,49.5,4.9
24064,Unemployment rate,7.8,15.0,9.3,7.8,11.5,8.3,6.2,6.2,6.5,5.5,8.3
24065,Total - Labour force activity,81565.0,5730.0,6840.0,29970.0,7115.0,7675.0,15185.0,22530.0,12845.0,9685.0,16495.0
24065,  In the labour force,48245.0,2100.0,5050.0,23870.0,5590.0,5950.0,12330.0,15775.0,10450.0,5325.0,1455.0
24065,    Employed,43360.0,1830.0,4310.0,21120.0,4955.0,5215.0,10950.0,14755.0,9745.0,5010.0,1350.0
24065,    Unemployed,4890.0,265.0,735.0,2750.0,635.0,730.0,1375.0,1020.0,710.0,315.0,110.0
24065,  Not in the labour force,33315.0,3640.0,1790.0,6100.0,1520.0,1725.0,2855.0,6750.0,2390.0,4360.0,15035.0
24065,Participation rate,59.1,36.6,73.8,79.6,78.6,77.5,81.2,70.0,81.4,55.0,8.8
24065,Employment rate,53.2,31.9,63.0,70.5,69.6,67.9,72.1,65.5,75.9,51.7,8.2
24065,Unemployment rate,10.1,12.6,14.6,11.5,11.4,12.3,11.2,6.5,6.8,5.9,7.6
24066,Total - Labour force activity,82945.0,5575.0,6740.0,31340.0,7590.0,8355.0,15395.0,23865.0,12735.0,11135.0,15430.0
24066,  In the labour force,48525.0,2050.0,5095.0,25290.0,6060.0,6595.0,12635.0,15360.0,9915.0,5445.0,730.0
24066,    Employed,43210.0,1725.0,4450.0,22445.0,5465.0,5735.0,11240.0,13950.0,8980.0,4975.0,640.0
24066,    Unemployed,5320.0,330.0,650.0,2845.0,600.0,855.0,1395.0,1405.0,940.0,470.0,90.0
24066,  Not in the labour force,34425.0,3525.0,1640.0,6045.0,1530.0,1760.0,2755.0,8510.0,2820.0,5695.0,14700.0
24066,Participation rate,58.5,36.8,75.6,80.7,79.8,78.9,82.1,64.4,77.9,48.9,4.7
24066,Employment rate,52.1,30.9,66.0,71.6,72.0,68.6,73.0,58.5,70.5,44.7,4.1
24066,Unemployment rate,11.0,16.1,12.8,11.2,9.9,13.0,11.0,9.1,9.5,8.6,12.3
24067,Total - Labour force activity,63660.0,5035.0,4340.0,19825.0,3230.0,3750.0,12845.0,21945.0,12795.0,9150.0,12515.0
24067,  In the labour force,35255.0,1655.0,3350.0,16640.0,2695.0,3200.0,10750.0,13210.0,9885.0,3330.0,400.0
24067,    Employed,31275.0,1355.0,2730.0,14905.0,2220.0,2830.0,9850.0,11935.0,8975.0,2960.0,350.0
24067,    Unemployed,3985.0,300.0,620.0,1740.0,470.0,370.0,895.0,1280.0,905.0,375.0,50.0
24067,  Not in the labour force,28410.0,3380.0,990.0,3185.0,535.0,550.0,2100.0,8730.0,2915.0,5820.0,12115.0
24067,Participation rate,55.4,32.9,77.2,83.9,83.4,85.3,83.7,60.2,77.3,36.4,3.2
24067,Employment rate,49.1,26.9,62.9,75.2,68.7,75.5,76.7,54.4,70.1,32.3,2.8
24067,Unemployment rate,11.3,18.1,18.5,10.5,17.4,11.6,8.3,9.7,9.2,11.3,12.5
24068,Total - Labour force activity,75155.0,6780.0,6270.0,27700.0,5190.0,5680.0,16835.0,24360.0,14605.0,9750.0,10045.0
24068,  In the labour force,51405.0,3700.0,5420.0,24380.0,4545.0,4950.0,14885.0,17345.0,12375.0,4970.0,555.0
24068,    Employed,47935.0,3170.0,4840.0,23005.0,4220.0,4660.0,14120.0,16400.0,11695.0,4710.0,520.0
24068,    Unemployed,3460.0,525.0,580.0,1375.0,325.0,290.0,760.0,945.0,680.0,265.0,35.0
24068,  Not in the labour force,23755.0,3075.0,845.0,3325.0,645.0,730.0,1950.0,7010.0,2235.0,4780.0,9490.0
24068,Participation rate,68.4,54.6,86.4,88.0,87.6,87.1,88.4,71.2,84.7,51.0,5.5
24068,Employment rate,63.8,46.8,77.2,83.1,81.3,82.0,83.9,67.3,80.1,48.3,5.2
24068,Unemployment rate,6.7,14.2,10.7,5.6,7.2,5.9,5.1,5.4,5.5,5.3,6.3
24069,Total - Labour force activity,78945.0,6465.0,9010.0,25860.0,6315.0,5340.0,14205.0,24000.0,14275.0,9725.0,13605.0
24069,  In the labour force,49205.0,3130.0,6925.0,22185.0,5360.0,4590.0,12230.0,16215.0,11840.0,4375.0,745.0
24069,    Employed,45330.0,2550.0,6125.0,20750.0,4975.0,4285.0,11490.0,15250.0,11135.0,4110.0,665.0
24069,    Unemployed,3875.0,580.0,805.0,1435.0,385.0,305.0,745.0,970.0,705.0,265.0,90.0
24069,  Not in the labour force,29740.0,3340.0,2080.0,3675.0,955.0,750.0,1975.0,7790.0,2435.0,5350.0,12855.0
24069,Participation rate,62.3,48.4,76.9,85.8,84.9,86.0,86.1,67.6,82.9,45.0,5.5
24069,Employment rate,57.4,39.4,68.0,80.2,78.8,80.2,80.9,63.5,78.0,42.3,4.9
24069,Unemployment rate,7.9,18.5,11.6,6.5,7.2,6.6,6.1,6.0,6.0,6.1,12.1
24070,Total - Labour force activity,92445.0,8520.0,6750.0,40640.0,6460.0,8845.0,25335.0,28765.0,18380.0,10380.0,7780.0
24070,  In the labour force,66930.0,3890.0,5570.0,36155.0,5645.0,7830.0,22680.0,20900.0,15615.0,5285.0,405.0
24070,    Employed,63490.0,3385.0,5125.0,34545.0,5335.0,7525.0,21685.0,20050.0,15040.0,5005.0,385.0
24070,    Unemployed,3440.0,510.0,445.0,1615.0,305.0,310.0,1000.0,850.0,575.0,280.0,25.0
24070,  Not in the labour force,25520.0,4625.0,1175.0,4480.0,815.0,1015.0,2650.0,7860.0,2770.0,5100.0,7370.0
24070,Participation rate,72.4,45.7,82.5,89.0,87.4,88.5,89.5,72.7,85.0,50.9,5.2
24070,Employment rate,68.7,39.7,75.9,85.0,82.6,85.1,85.6,69.7,81.8,48.2,4.9
24070,Unemployment rate,5.1,13.1,8.0,4.5,5.4,4.0,4.4,4.1,3.7,5.3,6.2
24071,Total - Labour force activity,75325.0,5740.0,6665.0,24805.0,4940.0,5140.0,14730.0,25165.0,14430.0,10735.0,12950.0
24071,  In the labour force,44880.0,2320.0,5195.0,20860.0,4050.0,4405.0,12405.0,15975.0,11530.0,4445.0,530.0
24071,    Employed,40895.0,1885.0,4445.0,19280.0,3710.0,4055.0,11510.0,14790.0,10795.0,4000.0,500.0
24071,    Unemployed,3980.0,435.0,750.0,1575.0,335.0,350.0,895.0,1185.0,735.0,445.0,30.0
24071,  Not in the labour force,30445.0,3420.0,1470.0,3945.0,895.0,735.0,2320.0,9190.0,2900.0,6290.0,12415.0
24071,Participation rate,59.6,40.4,77.9,84.1,82.0,85.7,84.2,63.5,79.9,41.4,4.1
24071,Employment rate,54.3,32.8,66.7,77.7,75.1,78.9,78.1,58.8,74.8,37.3,3.9
24071,Unemployment rate,8.9,18.8,14.4,7.6,8.3,7.9,7.2,7.4,6.4,10.0,5.7
24072,Total - Labour force activity,78870.0,6215.0,5265.0,33050.0,5490.0,7520.0,20040.0,25020.0,15495.0,9530.0,9320.0
24072,  In the labour force,55885.0,3050.0,4480.0,29315.0,4885.0,6675.0,17760.0,18260.0,13280.0,4975.0,775.0
24072,    Employed,53200.0,2665.0,4205.0,28155.0,4700.0,6425.0,17030.0,17460.0,12720.0,4735.0,715.0
24072,    Unemployed,2690.0,385.0,280.0,1160.0,180.0,245.0,730.0,805.0,565.0,245.0,65.0
24072,  Not in the labour force,22985.0,3165.0,780.0,3730.0,605.0,845.0,2280.0,6765.0,2210.0,4550.0,8545.0
24072,Participation rate,70.9,49.1,85.1,88.7,89.0,88.8,88.6,73.0,85.7,52.2,8.3
24072,Employment rate,67.5,42.9,79.9,85.2,85.6,85.4,85.0,69.8,82.1,49.7,7.7
24072,Unemployment rate,4.8,12.6,6.2,4.0,3.7,3.7,4.1,4.4,4.3,4.9,8.4
24073,Total - Labour force activity,83850.0,7425.0,6095.0,33795.0,5405.0,7550.0,20845.0,28540.0,17250.0,11290.0,8000.0
24073,  In the labour force,61445.0,3860.0,5190.0,30925.0,4895.0,6850.0,19175.0,20960.0,15190.0,5770.0,515.0
24073,    Employed,59000.0,3455.0,4820.0,29915.0,4650.0,6660.0,18600.0,20305.0,14750.0,5565.0,510.0
24073,    Unemployed,2445.0,405.0,375.0,1010.0,240.0,190.0,580.0,655.0,445.0,210.0,10.0
24073,  Not in the labour force,22410.0,3565.0,905.0,2875.0,505.0,700.0,1665.0,7585.0,2060.0,5525.0,7485.0
24073,Participation rate,73.3,52.0,85.2,91.5,90.6,90.7,92.0,73.4,88.1,51.1,6.4
24073,Employment rate,70.4,46.5,79.1,88.5,86.0,88.2,89.2,71.1,85.5,49.3,6.4
24073,Unemployment rate,4.0,10.5,7.2,3.3,4.9,2.8,3.0,3.1,2.9,3.6,1.9
24074,Total - Labour force activity,76015.0,4315.0,6825.0,30960.0,7405.0,7590.0,15960.0,21760.0,12860.0,8900.0,12160.0
24074,  In the labour force,46150.0,1655.0,5070.0,24835.0,5990.0,6000.0,12850.0,13880.0,9915.0,3965.0,715.0
24074,    Employed,41725.0,1350.0,4455.0,22620.0,5505.0,5425.0,11685.0,12675.0,9000.0,3675.0,635.0
