Geography,Labour Force Ac,Total - Age groups,  15-24 years,    15-19 years,    20-24 years,  25-34 years,  35-44 years,  45-54 years,  55-64 years,  65 years and over
2453040,    Employed,660.0,55.0,20.0,35.0,160.0,195.0,190.0,60.0,10.0
2453040,    Unemployed,135.0,25.0,0.0,20.0,30.0,35.0,20.0,30.0,0.0
2453040,  Not in the labour force,640.0,135.0,110.0,25.0,35.0,65.0,100.0,85.0,215.0
2453040,Participation rate,55.2,37.2,15.4,70.6,84.1,78.0,67.7,50.0,0.0
2453040,Employment rate,46.2,25.6,15.4,41.2,72.7,66.1,61.3,35.3,4.7
2453040,Unemployment rate,17.1,31.2,0.0,33.3,16.2,15.2,9.5,35.3,0.0
2453045,Total - Labour force activity,10565.0,1755.0,1010.0,745.0,1485.0,2300.0,2030.0,1365.0,1630.0
2453045,  Total labour force,5870.0,785.0,245.0,540.0,1135.0,1895.0,1560.0,450.0,50.0
2453045,    Employed,5180.0,570.0,145.0,425.0,995.0,1685.0,1460.0,425.0,45.0
2453045,    Unemployed,685.0,215.0,95.0,120.0,140.0,205.0,100.0,25.0,0.0
2453045,  Not in the labour force,4695.0,970.0,770.0,195.0,345.0,405.0,470.0,910.0,1580.0
2453045,Participation rate,55.6,44.7,24.3,72.5,76.4,82.4,76.8,33.0,3.1
2453045,Employment rate,49.0,32.5,14.4,57.0,67.0,73.3,71.9,31.1,2.8
2453045,Unemployment rate,11.7,27.4,38.8,22.2,12.3,10.8,6.4,5.6,0.0
2453050,Total - Labour force activity,1630.0,255.0,110.0,145.0,245.0,325.0,270.0,230.0,295.0
2453050,  Total labour force,755.0,95.0,25.0,65.0,170.0,260.0,185.0,50.0,0.0
2453050,    Employed,580.0,85.0,20.0,65.0,105.0,210.0,150.0,25.0,0.0
2453050,    Unemployed,170.0,10.0,10.0,0.0,60.0,50.0,30.0,25.0,0.0
2453050,  Not in the labour force,870.0,160.0,80.0,80.0,75.0,65.0,90.0,175.0,295.0
2453050,Participation rate,46.3,37.3,22.7,44.8,69.4,80.0,68.5,21.7,0.0
2453050,Employment rate,35.6,33.3,18.2,44.8,42.9,64.6,55.6,10.9,0.0
2453050,Unemployment rate,22.5,10.5,40.0,0.0,35.3,19.2,16.2,50.0,0.0
2453057,Total - Labour force activity,19100.0,3045.0,1780.0,1270.0,2580.0,4055.0,3935.0,2390.0,3095.0
2453057,  Total labour force,10615.0,1435.0,575.0,855.0,2025.0,3285.0,2855.0,920.0,100.0
2453057,    Employed,9080.0,1020.0,365.0,655.0,1750.0,2835.0,2550.0,830.0,90.0
2453057,    Unemployed,1535.0,415.0,210.0,205.0,265.0,445.0,305.0,90.0,10.0
2453057,  Not in the labour force,8490.0,1610.0,1205.0,410.0,560.0,770.0,1075.0,1465.0,2995.0
2453057,Participation rate,55.6,47.1,32.3,67.3,78.5,81.0,72.6,38.5,3.2
2453057,Employment rate,47.5,33.5,20.5,51.6,67.8,69.9,64.8,34.7,2.9
2453057,Unemployment rate,14.5,28.9,36.5,24.0,13.1,13.5,10.7,9.8,10.0
2453065,Total - Labour force activity,2335.0,370.0,215.0,155.0,335.0,570.0,455.0,295.0,310.0
2453065,  Total labour force,1500.0,175.0,70.0,105.0,325.0,515.0,370.0,115.0,0.0
2453065,    Employed,1320.0,150.0,50.0,100.0,285.0,445.0,335.0,105.0,0.0
2453065,    Unemployed,180.0,25.0,20.0,10.0,40.0,70.0,30.0,0.0,0.0
2453065,  Not in the labour force,830.0,190.0,140.0,50.0,15.0,55.0,85.0,185.0,305.0
2453065,Participation rate,64.2,47.3,32.6,67.7,97.0,90.4,81.3,39.0,0.0
2453065,Employment rate,56.5,40.5,23.3,64.5,85.1,78.1,73.6,35.6,0.0
2453065,Unemployment rate,12.0,14.3,28.6,9.5,12.3,13.6,8.1,0.0,0.0
2453070,Total - Labour force activity,200.0,50.0,25.0,25.0,25.0,40.0,15.0,20.0,45.0
2453070,  Total labour force,90.0,20.0,10.0,15.0,30.0,15.0,15.0,10.0,0.0
2453070,    Employed,70.0,20.0,10.0,10.0,15.0,15.0,10.0,10.0,10.0
2453070,    Unemployed,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
2453070,  Not in the labour force,105.0,30.0,20.0,10.0,0.0,20.0,0.0,20.0,35.0
2453070,Participation rate,45.0,40.0,40.0,60.0,100.0,37.5,100.0,50.0,0.0
2453070,Employment rate,35.0,40.0,40.0,40.0,60.0,37.5,66.7,50.0,22.2
2453070,Unemployment rate,22.2,0.0,0.0,0.0,33.3,0.0,66.7,0.0,0.0
2453075,Total - Labour force activity,370.0,60.0,35.0,30.0,45.0,75.0,50.0,55.0,85.0
2453075,  Total labour force,205.0,45.0,20.0,25.0,40.0,65.0,40.0,15.0,0.0
2453075,    Employed,180.0,40.0,15.0,25.0,30.0,60.0,40.0,15.0,0.0
2453075,    Unemployed,25.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
2453075,  Not in the labour force,165.0,20.0,15.0,0.0,0.0,10.0,10.0,40.0,85.0
2453075,Participation rate,55.4,75.0,57.1,83.3,88.9,86.7,80.0,27.3,0.0
2453075,Employment rate,48.6,66.7,42.9,83.3,66.7,80.0,80.0,27.3,0.0
2453075,Unemployment rate,12.2,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0
2453080,Total - Labour force activity,835.0,135.0,85.0,50.0,105.0,175.0,225.0,85.0,110.0
2453080,  Total labour force,465.0,40.0,10.0,30.0,90.0,130.0,185.0,15.0,10.0
2453080,    Employed,385.0,25.0,0.0,25.0,65.0,100.0,165.0,15.0,10.0
2453080,    Unemployed,80.0,10.0,10.0,0.0,25.0,30.0,15.0,0.0,0.0
2453080,  Not in the labour force,365.0,95.0,75.0,20.0,10.0,40.0,40.0,70.0,100.0
2453080,Participation rate,55.7,29.6,11.8,60.0,85.7,74.3,82.2,17.6,9.1
2453080,Employment rate,46.1,18.5,0.0,50.0,61.9,57.1,73.3,17.6,9.1
2453080,Unemployment rate,17.2,25.0,100.0,0.0,27.8,23.1,8.1,0.0,0.0
2453085,Total - Labour force activity,205.0,25.0,10.0,15.0,35.0,45.0,20.0,40.0,40.0
2453085,  Total labour force,75.0,10.0,0.0,10.0,30.0,15.0,10.0,15.0,0.0
2453085,    Employed,75.0,0.0,0.0,10.0,20.0,15.0,10.0,20.0,0.0
2453085,    Unemployed,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2453085,  Not in the labour force,125.0,15.0,10.0,0.0,0.0,35.0,20.0,20.0,35.0
2453085,Participation rate,36.6,40.0,0.0,66.7,85.7,33.3,50.0,37.5,0.0
2453085,Employment rate,36.6,0.0,0.0,66.7,57.1,33.3,50.0,50.0,0.0
2453085,Unemployment rate,13.3,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0
2454,Total - Labour force activity,62015.0,10765.0,6040.0,4725.0,11260.0,13350.0,10515.0,6835.0,9285.0
2454,  Total labour force,39200.0,6250.0,2460.0,3790.0,9385.0,11665.0,8225.0,3200.0,475.0
2454,    Employed,35950.0,5370.0,2085.0,3285.0,8630.0,10865.0,7665.0,3000.0,415.0
2454,    Unemployed,3250.0,880.0,375.0,505.0,755.0,795.0,560.0,200.0,55.0
2454,  Not in the labour force,22815.0,4510.0,3580.0,930.0,1875.0,1685.0,2290.0,3635.0,8810.0
2454,Participation rate,63.2,58.1,40.7,80.2,83.3,87.4,78.2,46.8,5.1
2454,Employment rate,58.0,49.9,34.5,69.5,76.6,81.4,72.9,43.9,4.5
2454,Unemployment rate,8.3,14.1,15.2,13.3,8.0,6.8,6.8,6.2,11.6
2454005,Total - Labour force activity,1670.0,240.0,120.0,120.0,405.0,335.0,205.0,155.0,325.0
2454005,  Total labour force,1035.0,140.0,45.0,95.0,355.0,285.0,165.0,60.0,25.0
2454005,    Employed,990.0,140.0,40.0,100.0,325.0,280.0,165.0,55.0,20.0
2454005,    Unemployed,40.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0
2454005,  Not in the labour force,635.0,100.0,80.0,20.0,50.0,50.0,40.0,95.0,295.0
2454005,Participation rate,62.0,58.3,37.5,79.2,87.7,85.1,80.5,38.7,7.7
2454005,Employment rate,59.3,58.3,33.3,83.3,80.2,83.6,80.5,35.5,6.2
2454005,Unemployment rate,3.9,0.0,0.0,0.0,8.5,3.5,0.0,0.0,0.0
2454010,Total - Labour force activity,1840.0,290.0,170.0,120.0,390.0,435.0,360.0,225.0,130.0
2454010,  Total labour force,1265.0,160.0,50.0,110.0,335.0,390.0,280.0,95.0,10.0
2454010,    Employed,1155.0,130.0,30.0,100.0,315.0,360.0,260.0,90.0,0.0
2454010,    Unemployed,110.0,30.0,20.0,10.0,20.0,30.0,25.0,10.0,0.0
2454010,  Not in the labour force,565.0,130.0,120.0,10.0,55.0,45.0,80.0,130.0,125.0
2454010,Participation rate,68.8,55.2,29.4,91.7,85.9,89.7,77.8,42.2,7.7
2454010,Employment rate,62.8,44.8,17.6,83.3,80.8,82.8,72.2,40.0,0.0
2454010,Unemployment rate,8.7,18.8,40.0,9.1,6.0,7.7,8.9,10.5,0.0
2454015,Total - Labour force activity,1050.0,165.0,100.0,65.0,175.0,235.0,170.0,110.0,190.0
2454015,  Total labour force,630.0,100.0,50.0,55.0,155.0,195.0,120.0,55.0,10.0
2454015,    Employed,580.0,90.0,45.0,50.0,140.0,175.0,105.0,55.0,0.0
2454015,    Unemployed,55.0,15.0,0.0,0.0,10.0,20.0,15.0,0.0,0.0
2454015,  Not in the labour force,420.0,65.0,55.0,10.0,20.0,45.0,50.0,55.0,180.0
2454015,Participation rate,60.0,60.6,50.0,84.6,88.6,83.0,70.6,50.0,5.3
2454015,Employment rate,55.2,54.5,45.0,76.9,80.0,74.5,61.8,50.0,0.0
2454015,Unemployment rate,8.7,15.0,0.0,0.0,6.5,10.3,12.5,0.0,0.0
2454020,Total - Labour force activity,905.0,175.0,105.0,70.0,180.0,200.0,180.0,105.0,55.0
2454020,  Total labour force,655.0,95.0,35.0,60.0,150.0,195.0,125.0,70.0,15.0
2454020,    Employed,610.0,75.0,20.0,60.0,140.0,185.0,120.0,65.0,15.0
2454020,    Unemployed,45.0,10.0,15.0,0.0,10.0,10.0,10.0,0.0,0.0
2454020,  Not in the labour force,250.0,85.0,70.0,15.0,30.0,10.0,50.0,35.0,40.0
2454020,Participation rate,72.4,54.3,33.3,85.7,83.3,97.5,69.4,66.7,27.3
2454020,Employment rate,67.4,42.9,19.0,85.7,77.8,92.5,66.7,61.9,27.3
2454020,Unemployment rate,6.9,10.5,42.9,0.0,6.7,5.1,8.0,0.0,0.0
2454025,Total - Labour force activity,1465.0,225.0,125.0,100.0,390.0,410.0,190.0,125.0,120.0
2454025,  Total labour force,995.0,125.0,45.0,80.0,300.0,365.0,120.0,85.0,0.0
2454025,    Employed,935.0,120.0,40.0,75.0,270.0,340.0,120.0,85.0,0.0
2454025,    Unemployed,55.0,0.0,10.0,0.0,25.0,20.0,0.0,0.0,0.0
2454025,  Not in the labour force,470.0,100.0,80.0,20.0,95.0,45.0,70.0,40.0,120.0
2454025,Participation rate,67.9,55.6,36.0,80.0,76.9,89.0,63.2,68.0,0.0
2454025,Employment rate,63.8,53.3,32.0,75.0,69.2,82.9,63.2,68.0,0.0
2454025,Unemployment rate,5.5,0.0,22.2,0.0,8.3,5.5,0.0,0.0,0.0
2454030,Total - Labour force activity,1740.0,285.0,180.0,105.0,375.0,455.0,285.0,200.0,140.0
2454030,  Total labour force,1160.0,135.0,50.0,80.0,315.0,385.0,240.0,80.0,10.0
2454030,    Employed,1080.0,100.0,45.0,60.0,295.0,370.0,225.0,70.0,10.0
2454030,    Unemployed,80.0,30.0,10.0,25.0,25.0,10.0,10.0,10.0,0.0
2454030,  Not in the labour force,580.0,155.0,125.0,30.0,50.0,70.0,45.0,120.0,130.0
2454030,Participation rate,66.7,47.4,27.8,76.2,84.0,84.6,84.2,40.0,7.1
2454030,Employment rate,62.1,35.1,25.0,57.1,78.7,81.3,78.9,35.0,7.1
2454030,Unemployment rate,6.9,22.2,20.0,31.2,7.9,2.6,4.2,12.5,0.0
2454035,Total - Labour force activity,1390.0,240.0,125.0,110.0,275.0,375.0,220.0,160.0,125.0
2454035,  Total labour force,1060.0,150.0,60.0,95.0,240.0,365.0,190.0,90.0,20.0
2454035,    Employed,985.0,115.0,55.0,60.0,230.0,345.0,185.0,90.0,20.0
2454035,    Unemployed,75.0,35.0,0.0,30.0,10.0,20.0,0.0,0.0,0.0
2454035,  Not in the labour force,335.0,85.0,65.0,20.0,35.0,10.0,30.0,65.0,105.0
2454035,Participation rate,76.3,62.5,48.0,86.4,87.3,97.3,86.4,56.2,16.0
2454035,Employment rate,70.9,47.9,44.0,54.5,83.6,92.0,84.1,56.2,16.0
2454035,Unemployment rate,7.1,23.3,0.0,31.6,4.2,5.5,0.0,0.0,0.0
2454040,Total - Labour force activity,3225.0,640.0,395.0,245.0,620.0,830.0,660.0,280.0,195.0
2454040,  Total labour force,2365.0,375.0,170.0,210.0,535.0,770.0,535.0,140.0,10.0
2454040,    Employed,2205.0,320.0,140.0,185.0,510.0,730.0,495.0,140.0,10.0
2454040,    Unemployed,160.0,50.0,25.0,25.0,30.0,40.0,45.0,0.0,0.0
2454040,  Not in the labour force,860.0,260.0,220.0,40.0,80.0,60.0,125.0,135.0,190.0
2454040,Participation rate,73.3,58.6,43.0,85.7,86.3,92.8,81.1,50.0,5.1
2454040,Employment rate,68.4,50.0,35.4,75.5,82.3,88.0,75.0,50.0,5.1
2454040,Unemployment rate,6.8,13.3,14.7,11.9,5.6,5.2,8.4,0.0,0.0
2454045,Total - Labour force activity,31700.0,5390.0,2800.0,2590.0,5065.0,6125.0,5295.0,3695.0,6135.0
2454045,  Total labour force,18600.0,3310.0,1215.0,2095.0,4145.0,5220.0,4040.0,1625.0,250.0
2454045,    Employed,16775.0,2815.0,1025.0,1790.0,3740.0,4780.0,3720.0,1520.0,200.0
2454045,    Unemployed,1825.0,500.0,190.0,305.0,405.0,440.0,325.0,105.0,50.0
2454045,  Not in the labour force,13100.0,2080.0,1585.0,495.0,920.0,900.0,1245.0,2070.0,5885.0
2454045,Participation rate,58.7,61.4,43.4,80.9,81.8,85.2,76.3,44.0,4.1
2454045,Employment rate,52.9,52.2,36.6,69.1,73.8,78.0,70.3,41.1,3.3
2454045,Unemployment rate,9.8,15.1,15.6,14.6,9.8,8.4,8.0,6.5,20.0
2454050,Total - Labour force activity,720.0,125.0,90.0,40.0,90.0,125.0,205.0,90.0,80.0
2454050,  Total labour force,480.0,70.0,30.0,40.0,80.0,115.0,175.0,35.0,0.0
2454050,    Employed,465.0,70.0,25.0,35.0,70.0,110.0,175.0,35.0,0.0
2454050,    Unemployed,15.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
2454050,  Not in the labour force,235.0,55.0,60.0,0.0,10.0,15.0,30.0,50.0,75.0
2454050,Participation rate,66.7,56.0,33.3,100.0,88.9,92.0,85.4,38.9,0.0
2454050,Employment rate,64.6,56.0,27.8,87.5,77.8,88.0,85.4,38.9,0.0
2454050,Unemployment rate,3.1,0.0,0.0,0.0,12.5,8.7,0.0,0.0,0.0
2454055,Total - Labour force activity,935.0,220.0,130.0,95.0,195.0,190.0,135.0,90.0,95.0
2454055,  Total labour force,625.0,155.0,65.0,90.0,140.0,185.0,110.0,40.0,10.0
2454055,    Employed,595.0,140.0,50.0,90.0,130.0,175.0,105.0,40.0,0.0
2454055,    Unemployed,35.0,10.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0
2454055,  Not in the labour force,305.0,70.0,65.0,0.0,55.0,10.0,25.0,45.0,95.0
2454055,Participation rate,66.8,70.5,50.0,94.7,71.8,97.4,81.5,44.4,10.5
2454055,Employment rate,63.6,63.6,38.5,94.7,66.7,92.1,77.8,44.4,0.0
2454055,Unemployment rate,5.6,6.5,15.4,0.0,0.0,5.4,0.0,0.0,0.0
2454060,Total - Labour force activity,1715.0,305.0,195.0,105.0,375.0,335.0,320.0,210.0,165.0
2454060,  Total labour force,1140.0,125.0,55.0,70.0,310.0,295.0,285.0,100.0,20.0
2454060,    Employed,1085.0,120.0,55.0,60.0,305.0,280.0,265.0,95.0,20.0
2454060,    Unemployed,55.0,10.0,0.0,10.0,10.0,15.0,20.0,10.0,0.0
2454060,  Not in the labour force,575.0,175.0,140.0,35.0,60.0,40.0,35.0,115.0,145.0
2454060,Participation rate,66.5,41.0,28.2,66.7,82.7,88.1,89.1,47.6,12.1
2454060,Employment rate,63.3,39.3,28.2,57.1,81.3,83.6,82.8,45.2,12.1
2454060,Unemployment rate,4.8,8.0,0.0,14.3,3.2,5.1,7.0,10.0,0.0
2454065,Total - Labour force activity,1360.0,275.0,180.0,90.0,300.0,305.0,205.0,95.0,175.0
2454065,  Total labour force,880.0,150.0,85.0,60.0,260.0,285.0,135.0,40.0,10.0
2454065,    Employed,815.0,115.0,65.0,50.0,240.0,270.0,135.0,40.0,10.0
2454065,    Unemployed,65.0,35.0,25.0,10.0,15.0,15.0,0.0,0.0,0.0
2454065,  Not in the labour force,480.0,130.0,95.0,35.0,35.0,20.0,70.0,55.0,165.0
2454065,Participation rate,64.7,54.5,47.2,66.7,86.7,93.4,65.9,42.1,5.7
2454065,Employment rate,59.9,41.8,36.1,55.6,80.0,88.5,65.9,42.1,5.7
2454065,Unemployment rate,7.4,23.3,29.4,16.7,5.8,5.3,0.0,0.0,0.0
2454072,Total - Labour force activity,1880.0,355.0,205.0,150.0,440.0,460.0,285.0,165.0,170.0
2454072,  Total labour force,1300.0,190.0,70.0,120.0,380.0,405.0,250.0,70.0,10.0
2454072,    Employed,1190.0,170.0,65.0,100.0,340.0,365.0,240.0,60.0,10.0
2454072,    Unemployed,110.0,25.0,0.0,20.0,35.0,35.0,10.0,10.0,0.0
2454072,  Not in the labour force,575.0,165.0,130.0,35.0,60.0,60.0,35.0,100.0,155.0
2454072,Participation rate,69.1,53.5,34.1,80.0,86.4,88.0,87.7,42.4,5.9
2454072,Employment rate,63.3,47.9,31.7,66.7,77.3,79.3,84.2,36.4,5.9
2454072,Unemployment rate,8.5,13.2,0.0,16.7,9.2,8.6,4.0,14.3,0.0
2454080,Total - Labour force activity,3215.0,545.0,310.0,235.0,680.0,735.0,555.0,330.0,365.0
2454080,  Total labour force,2220.0,305.0,135.0,170.0,615.0,645.0,450.0,195.0,10.0
2454080,    Employed,2095.0,275.0,115.0,160.0,590.0,625.0,425.0,165.0,10.0
2454080,    Unemployed,130.0,25.0,15.0,0.0,30.0,20.0,25.0,30.0,0.0
2454080,  Not in the labour force,1000.0,240.0,175.0,70.0,60.0,90.0,110.0,140.0,355.0
2454080,Participation rate,69.1,56.0,43.5,72.3,90.4,87.8,81.1,59.1,2.7
2454080,Employment rate,65.2,50.5,37.1,68.1,86.8,85.0,76.6,50.0,2.7
2454080,Unemployment rate,5.9,8.2,11.1,0.0,4.9,3.1,5.6,15.4,0.0
2454085,Total - Labour force activity,1200.0,205.0,110.0,95.0,195.0,320.0,215.0,170.0,95.0
2454085,  Total labour force,870.0,115.0,35.0,75.0,160.0,305.0,185.0,85.0,20.0
2454085,    Employed,795.0,90.0,40.0,55.0,150.0,290.0,175.0,70.0,15.0
2454085,    Unemployed,70.0,20.0,0.0,20.0,10.0,10.0,10.0,10.0,0.0
2454085,  Not in the labour force,335.0,90.0,70.0,20.0,30.0,15.0,30.0,90.0,80.0
2454085,Participation rate,72.5,56.1,31.8,78.9,82.1,95.3,86.0,50.0,21.1
2454085,Employment rate,66.2,43.9,36.4,57.9,76.9,90.6,81.4,41.2,15.8
2454085,Unemployment rate,8.0,17.4,0.0,26.7,6.2,3.3,5.4,11.8,0.0
2454090,Total - Labour force activity,885.0,140.0,85.0,60.0,190.0,180.0,175.0,90.0,105.0
2454090,  Total labour force,650.0,105.0,55.0,55.0,180.0,160.0,125.0,60.0,20.0
2454090,    Employed,630.0,100.0,50.0,50.0,165.0,160.0,125.0,55.0,15.0
2454090,    Unemployed,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2454090,  Not in the labour force,240.0,40.0,35.0,10.0,10.0,20.0,50.0,30.0,90.0
2454090,Participation rate,73.4,75.0,64.7,91.7,94.7,88.9,71.4,66.7,19.0
2454090,Employment rate,71.2,71.4,58.8,83.3,86.8,88.9,71.4,61.1,14.3
2454090,Unemployment rate,3.1,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0
2454095,Total - Labour force activity,1150.0,245.0,150.0,90.0,185.0,290.0,220.0,100.0,110.0
2454095,  Total labour force,800.0,140.0,80.0,60.0,175.0,255.0,185.0,35.0,15.0
2454095,    Employed,745.0,130.0,70.0,60.0,165.0,250.0,160.0,35.0,10.0
2454095,    Unemployed,60.0,10.0,10.0,0.0,10.0,10.0,25.0,0.0,0.0
2454095,  Not in the labour force,350.0,100.0,70.0,25.0,15.0,35.0,35.0,65.0,95.0
2454095,Participation rate,69.6,57.1,53.3,66.7,94.6,87.9,84.1,35.0,13.6
2454095,Employment rate,64.8,53.1,46.7,66.7,89.2,86.2,72.7,35.0,9.1
2454095,Unemployment rate,7.5,7.1,12.5,0.0,5.7,3.9,13.5,0.0,0.0
2454100,Total - Labour force activity,1000.0,195.0,125.0,70.0,135.0,250.0,145.0,150.0,115.0
2454100,  Total labour force,670.0,105.0,45.0,60.0,115.0,225.0,120.0,85.0,15.0
2454100,    Employed,585.0,75.0,30.0,45.0,100.0,205.0,115.0,70.0,15.0
2454100,    Unemployed,85.0,25.0,10.0,15.0,15.0,20.0,10.0,15.0,0.0
2454100,  Not in the labour force,330.0,95.0,85.0,10.0,20.0,30.0,25.0,65.0,100.0
2454100,Participation rate,67.0,53.8,36.0,85.7,85.2,90.0,82.8,56.7,13.0
2454100,Employment rate,58.5,38.5,24.0,64.3,74.1,82.0,79.3,46.7,13.0
2454100,Unemployment rate,12.7,23.8,22.2,25.0,13.0,8.9,8.3,17.6,0.0
2454105,Total - Labour force activity,665.0,95.0,55.0,35.0,155.0,175.0,95.0,60.0,90.0
2454105,  Total labour force,470.0,60.0,25.0,30.0,110.0,160.0,90.0,45.0,0.0
2454105,    Employed,435.0,40.0,20.0,20.0,110.0,160.0,75.0,45.0,0.0
2454105,    Unemployed,30.0,20.0,10.0,10.0,0.0,0.0,15.0,0.0,0.0
2454105,  Not in the labour force,195.0,35.0,30.0,10.0,40.0,15.0,0.0,10.0,90.0
2454105,Participation rate,70.7,63.2,45.5,85.7,71.0,91.4,94.7,75.0,0.0
2454105,Employment rate,65.4,42.1,36.4,57.1,71.0,91.4,78.9,75.0,0.0
2454105,Unemployment rate,6.4,33.3,40.0,33.3,0.0,0.0,16.7,0.0,0.0
2454110,Total - Labour force activity,870.0,125.0,80.0,40.0,220.0,195.0,140.0,95.0,95.0
2454110,  Total labour force,590.0,55.0,15.0,40.0,185.0,160.0,125.0,50.0,15.0
2454110,    Employed,525.0,50.0,15.0,35.0,160.0,135.0,120.0,50.0,15.0
2454110,    Unemployed,65.0,0.0,0.0,0.0,20.0,25.0,10.0,0.0,0.0
2454110,  Not in the labour force,280.0,70.0,65.0,0.0,40.0,40.0,15.0,45.0,80.0
2454110,Participation rate,67.8,44.0,18.8,100.0,84.1,82.1,89.3,52.6,15.8
2454110,Employment rate,60.3,40.0,18.8,87.5,72.7,69.2,85.7,52.6,15.8
2454110,Unemployment rate,11.0,0.0,0.0,0.0,10.8,15.6,8.0,0.0,0.0
2454115,Total - Labour force activity,450.0,90.0,60.0,30.0,70.0,110.0,85.0,25.0,60.0
2454115,  Total labour force,250.0,35.0,20.0,10.0,50.0,90.0,60.0,20.0,0.0
2454115,    Employed,240.0,35.0,20.0,10.0,40.0,90.0,55.0,15.0,0.0
2454115,    Unemployed,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0
2454115,  Not in the labour force,195.0,60.0,35.0,20.0,25.0,20.0,25.0,10.0,60.0
2454115,Participation rate,55.6,38.9,33.3,33.3,71.4,81.8,70.6,80.0,0.0
2454115,Employment rate,53.3,38.9,33.3,33.3,57.1,81.8,64.7,60.0,0.0
2454115,Unemployment rate,4.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0
2454120,Total - Labour force activity,535.0,105.0,70.0,30.0,85.0,140.0,95.0,55.0,60.0
2454120,  Total labour force,290.0,50.0,25.0,25.0,50.0,115.0,55.0,15.0,0.0
2454120,    Employed,265.0,35.0,20.0,20.0,45.0,110.0,55.0,15.0,0.0
2454120,    Unemployed,20.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0
2454120,  Not in the labour force,245.0,60.0,50.0,10.0,35.0,25.0,35.0,35.0,60.0
2454120,Participation rate,54.2,47.6,35.7,83.3,58.8,82.1,57.9,27.3,0.0
2454120,Employment rate,49.5,33.3,28.6,66.7,52.9,78.6,57.9,27.3,0.0
2454120,Unemployment rate,6.9,20.0,0.0,40.0,20.0,8.7,0.0,0.0,0.0
2454125,Total - Labour force activity,445.0,70.0,65.0,0.0,65.0,120.0,70.0,40.0,75.0
2454125,  Total labour force,190.0,0.0,0.0,0.0,35.0,100.0,40.0,10.0,0.0
2454125,    Employed,170.0,10.0,0.0,0.0,35.0,85.0,40.0,0.0,0.0
2454125,    Unemployed,20.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0
2454125,  Not in the labour force,260.0,65.0,65.0,0.0,30.0,20.0,30.0,35.0,75.0
2454125,Participation rate,42.7,0.0,0.0,0.0,53.8,83.3,57.1,25.0,0.0
2454125,Employment rate,38.2,14.3,0.0,0.0,53.8,70.8,57.1,0.0,0.0
2454125,Unemployment rate,10.5,0.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0
2455,Total - Labour force activity,25220.0,4190.0,2450.0,1735.0,4995.0,6030.0,4345.0,2740.0,2920.0
2455,  Total labour force,16940.0,2555.0,1060.0,1495.0,4165.0,5110.0,3565.0,1370.0,180.0
2455,    Employed,15385.0,2140.0,855.0,1285.0,3800.0,4725.0,3260.0,1280.0,175.0
2455,    Unemployed,1555.0,415.0,200.0,215.0,360.0,385.0,305.0,85.0,10.0
2455,  Not in the labour force,8280.0,1635.0,1395.0,240.0,830.0,915.0,785.0,1370.0,2740.0
2455,Participation rate,67.2,61.0,43.3,86.2,83.4,84.7,82.0,50.0,6.2
2455,Employment rate,61.0,51.1,34.9,74.1,76.1,78.4,75.0,46.7,6.0
2455,Unemployment rate,9.2,16.2,18.9,14.4,8.6,7.5,8.6,6.2,5.6
2455005,Total - Labour force activity,455.0,70.0,35.0,35.0,100.0,125.0,40.0,40.0,75.0
2455005,  Total labour force,300.0,45.0,10.0,35.0,100.0,85.0,40.0,15.0,10.0
2455005,    Employed,235.0,35.0,0.0,35.0,90.0,80.0,15.0,10.0,10.0
2455005,    Unemployed,60.0,10.0,15.0,0.0,10.0,10.0,30.0,10.0,0.0
2455005,  Not in the labour force,160.0,25.0,25.0,0.0,0.0,35.0,0.0,25.0,65.0
2455005,Participation rate,65.9,64.3,28.6,100.0,100.0,68.0,100.0,37.5,13.3
2455005,Employment rate,51.6,50.0,0.0,100.0,90.0,64.0,37.5,25.0,13.3
2455005,Unemployment rate,20.0,22.2,100.0,0.0,10.0,11.8,75.0,66.7,0.0
2455010,Total - Labour force activity,970.0,170.0,130.0,40.0,175.0,295.0,135.0,100.0,100.0
2455010,  Total labour force,630.0,85.0,65.0,25.0,160.0,220.0,115.0,45.0,10.0
2455010,    Employed,605.0,80.0,60.0,20.0,145.0,210.0,115.0,50.0,0.0
2455010,    Unemployed,25.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2455010,  Not in the labour force,345.0,85.0,70.0,15.0,20.0,75.0,20.0,55.0,95.0
